"","date","dayHours","dayName","dayNum","freeDay","holidayName","index","monthNum","weekOfMonth","yearNum"
"138","2021-05-18",24,"Tuesday",18,FALSE,"",137,5,4,2021
"139","2021-05-19",24,"Wednesday",19,FALSE,"",138,5,4,2021
"140","2021-05-20",24,"Thursday",20,FALSE,"",139,5,4,2021
"141","2021-05-21",24,"Friday",21,FALSE,"",140,5,4,2021
"142","2021-05-22",24,"Saturday",22,TRUE,"",141,5,4,2021
"143","2021-05-23",24,"Sunday",23,TRUE,"Whit Sunday",142,5,4,2021
"144","2021-05-24",24,"Monday",24,FALSE,"",143,5,5,2021
"145","2021-05-25",24,"Tuesday",25,FALSE,"",144,5,5,2021
"146","2021-05-26",24,"Wednesday",26,FALSE,"",145,5,5,2021
"147","2021-05-27",24,"Thursday",27,FALSE,"",146,5,5,2021
"148","2021-05-28",24,"Friday",28,FALSE,"",147,5,5,2021
"149","2021-05-29",24,"Saturday",29,TRUE,"",148,5,5,2021
"150","2021-05-30",24,"Sunday",30,TRUE,"",149,5,5,2021
"151","2021-05-31",24,"Monday",31,FALSE,"",150,5,6,2021
"152","2021-06-01",24,"Tuesday",1,FALSE,"",151,6,1,2021
"153","2021-06-02",24,"Wednesday",2,FALSE,"",152,6,1,2021
"154","2021-06-03",24,"Thursday",3,FALSE,"",153,6,1,2021
"155","2021-06-04",24,"Friday",4,FALSE,"",154,6,1,2021
"156","2021-06-05",24,"Saturday",5,TRUE,"",155,6,1,2021
"157","2021-06-06",24,"Sunday",6,TRUE,"",156,6,1,2021
"158","2021-06-07",24,"Monday",7,FALSE,"",157,6,2,2021
"159","2021-06-08",24,"Tuesday",8,FALSE,"Primoz Trubar Day",158,6,2,2021
"160","2021-06-09",24,"Wednesday",9,FALSE,"",159,6,2,2021
"161","2021-06-10",24,"Thursday",10,FALSE,"",160,6,2,2021
"162","2021-06-11",24,"Friday",11,FALSE,"",161,6,2,2021
"163","2021-06-12",24,"Saturday",12,TRUE,"",162,6,2,2021
"164","2021-06-13",24,"Sunday",13,TRUE,"",163,6,2,2021
"165","2021-06-14",24,"Monday",14,FALSE,"",164,6,3,2021
"166","2021-06-15",24,"Tuesday",15,FALSE,"",165,6,3,2021
"167","2021-06-16",24,"Wednesday",16,FALSE,"",166,6,3,2021
"168","2021-06-17",24,"Thursday",17,FALSE,"",167,6,3,2021
"169","2021-06-18",24,"Friday",18,FALSE,"",168,6,3,2021
